SRR32635203	SRR32635202	SRR32635201	SRR32635200	SRR32635199	SRR32635198
GGCT	362.933955928346	347.560855614856	472.737871883884	347.95696706758	280.638844234563	275.19746025161
DBF4	131.407121974056	129.957537316859	202.747492467442	116.583519893777	150.891433372693	128.216998526318
TBXA2R	9.38622299814688	2.01484553979627	5.09415810219703	1.79359261375041	2.88327579693044	2.08482924433038
IFRD1	426.551689582453	477.518392931715	618.430793606719	284.28442927944	218.167868634404	231.416046120672
LGALS14	0	0	0	0	0	0
COX10	165.823272967262	194.43259459034	275.08453751864	101.337982676898	87.4593658402234	87.562828261876
GTF2IRD1	603.847012880783	634.676345035824	420.777459241475	630.447803733269	642.009410783179	678.611919029539
PAF1	605.932840213704	588.33489762051	534.886600730688	651.074118791399	691.986191263306	719.266089293981
VPS41	219.01186995676	168.239602572988	147.730584963714	172.184890920039	121.097583471079	145.938047103127
ARHGAP44	87.6047479827042	111.823927458693	115.127973109653	129.13866819003	156.657984966554	117.792852304666
ELAC2	44.8452876578129	43.3191791056198	36.6779383358186	40.3558338093842	33.6382176308552	39.6117556422772
SCIN	17.729532329833	16.1187643183701	16.3013059270305	40.3558338093842	29.7938499016146	29.1876094206253
ARSD	85.5189206497827	110.816504688795	155.881237927229	140.797020179407	110.525572215667	84.4355843953804
PNPLA4	5.21456833230382	10.0742276989813	12.2259794452729	16.1423335237537	27.8716660369943	27.1027801762949
MYH13	0	0	0	0	0	0
ADIPOR2	933.407731482384	896.606265209339	911.854300293268	1020.55419722398	1037.97928689496	840.186185465143
CDKL3	8.34330933168611	8.05938215918507	8.15065296351525	5.38077784125123	7.68873545848118	1.04241462216519
UPP2	0	0	0	0	0	0
PRSS21	0	0	0	0	0	0
MARK4	7.30039566522535	5.03711384949067	4.07532648175762	8.96796306875205	8.64982739079133	6.25448773299114
PROM1	0	0	0	0	0	0
CCDC124	4472.01380178376	4533.4024645416	4127.28689440003	4478.60075653477	4712.23374411665	4306.2148041644
CEACAM21	0	0	0	0	0	0
PAFAH1B1	0	0	0	0	0	0
NOS2	0	0	0	0	0	0
DNAH9	4.17165466584306	1.00742276989813	10.1883162043941	1.79359261375041	0	4.16965848866076
